model,recall@5,recall@10,recall@20,ndcg@5,ndcg@10,ndcg@20,precision@5,precision@10,precision@20,hit_rate@5,hit_rate@10,hit_rate@20,mrr,coverage,diversity
Popularity,0.054130794701986756,0.05887693156732892,0.07808375438266721,0.05461729205859661,0.05581799573798587,0.06269329143101147,0.05062913907284768,0.04700331125827814,0.04269039735099338,0.18443708609271522,0.2809602649006622,0.40827814569536425,0.12321073556427262,0.03425058548009368,0.6343879694871555
ALS,0.04237306843267108,0.05846584936402817,0.09292206557985011,0.03987882802396158,0.04687755080427882,0.06078212451714035,0.03536423841059603,0.03433774834437086,0.034072847682119205,0.1562913907284768,0.2672185430463576,0.43609271523178805,0.10322794491626375,0.5966042154566745,0.6431317927402179
TwoTower,0.03277869757174393,0.038182618522022496,0.05463576497046604,0.03247032521189975,0.03493719725504958,0.04201864707962712,0.03049668874172185,0.03043046357615894,0.03100993377483444,0.12599337748344372,0.21374172185430462,0.3355960264900662,0.08450830683579207,0.26756440281030447,0.6472035124941131
SASRec,0.05205573951434879,0.06077387522337854,0.08345478951104117,0.05168185604212199,0.054648005586053615,0.06297739020591935,0.047582781456953646,0.04384105960264901,0.03942880794701986,0.18675496688741722,0.29403973509933773,0.42764900662251654,0.12257071495496825,0.12822014051522249,0.6293500258630474
